town,candidate,votes
Abington,Obama/ Biden,4144
Abington,Romney/ Ryan,4061
Abington,Johnson/ Gray,53
Abington,Stein/ Honkala,37
Abington,All Others,20
Acton,Obama/ Biden,7872
Acton,Romney/ Ryan,3875
Acton,Johnson/ Gray,136
Acton,Stein/ Honkala,83
Acton,All Others,17
Acushnet,Obama/ Biden,3046
Acushnet,Romney/ Ryan,2196
Acushnet,Johnson/ Gray,59
Acushnet,Stein/ Honkala,26
Acushnet,All Others,18
Adams,Obama/ Biden,3013
Adams,Romney/ Ryan,819
Adams,Johnson/ Gray,53
Adams,Stein/ Honkala,25
Adams,All Others,9
Agawam,Obama/ Biden,7288
Agawam,Romney/ Ryan,6870
Agawam,Johnson/ Gray,136
Agawam,Stein/ Honkala,60
Agawam,All Others,33
Alford,Obama/ Biden,233
Alford,Romney/ Ryan,64
Alford,Johnson/ Gray,1
Alford,Stein/ Honkala,6
Alford,All Others,0
Amesbury,Obama/ Biden,4863
Amesbury,Romney/ Ryan,3427
Amesbury,Johnson/ Gray,101
Amesbury,Stein/ Honkala,34
Amesbury,All Others,21
Amherst,Obama/ Biden,12798
Amherst,Romney/ Ryan,1911
Amherst,Johnson/ Gray,270
Amherst,Stein/ Honkala,444
Amherst,All Others,61
Andover,Obama/ Biden,9401
Andover,Romney/ Ryan,9096
Andover,Johnson/ Gray,181
Andover,Stein/ Honkala,82
Andover,All Others,0
Aquinnah,Obama/ Biden,252
Aquinnah,Romney/ Ryan,38
Aquinnah,Johnson/ Gray,2
Aquinnah,Stein/ Honkala,6
Aquinnah,All Others,0
Arlington,Obama/ Biden,18850
Arlington,Romney/ Ryan,6694
Arlington,Johnson/ Gray,249
Arlington,Stein/ Honkala,316
Arlington,All Others,50
Ashburnham,Obama/ Biden,1632
Ashburnham,Romney/ Ryan,1535
Ashburnham,Johnson/ Gray,38
Ashburnham,Stein/ Honkala,24
Ashburnham,All Others,18
Ashby,Obama/ Biden,827
Ashby,Romney/ Ryan,961
Ashby,Johnson/ Gray,32
Ashby,Stein/ Honkala,10
Ashby,All Others,5
Ashfield,Obama/ Biden,892
Ashfield,Romney/ Ryan,187
Ashfield,Johnson/ Gray,11
Ashfield,Stein/ Honkala,31
Ashfield,All Others,1
Ashland,Obama/ Biden,4979
Ashland,Romney/ Ryan,3409
Ashland,Johnson/ Gray,115
Ashland,Stein/ Honkala,36
Ashland,All Others,9
Athol,Obama/ Biden,2543
Athol,Romney/ Ryan,2079
Athol,Johnson/ Gray,78
Athol,Stein/ Honkala,41
Athol,All Others,14
Attleboro,Obama/ Biden,10502
Attleboro,Romney/ Ryan,8470
Attleboro,Johnson/ Gray,263
Attleboro,Stein/ Honkala,95
Attleboro,All Others,54
Auburn,Obama/ Biden,4520
Auburn,Romney/ Ryan,4121
Auburn,Johnson/ Gray,106
Auburn,Stein/ Honkala,63
Auburn,All Others,18
Avon,Obama/ Biden,1222
Avon,Romney/ Ryan,1131
Avon,Johnson/ Gray,31
Avon,Stein/ Honkala,11
Avon,All Others,0
Ayer,Obama/ Biden,2025
Ayer,Romney/ Ryan,1558
Ayer,Johnson/ Gray,43
Ayer,Stein/ Honkala,21
Ayer,All Others,6
Barnstable,Obama/ Biden,12947
Barnstable,Romney/ Ryan,12355
Barnstable,Johnson/ Gray,181
Barnstable,Stein/ Honkala,128
Barnstable,All Others,0
Barre,Obama/ Biden,1345
Barre,Romney/ Ryan,1279
Barre,Johnson/ Gray,36
Barre,Stein/ Honkala,25
Barre,All Others,11
Becket,Obama/ Biden,686
Becket,Romney/ Ryan,259
Becket,Johnson/ Gray,14
Becket,Stein/ Honkala,10
Becket,All Others,1
Bedford,Obama/ Biden,4469
Bedford,Romney/ Ryan,3061
Bedford,Johnson/ Gray,90
Bedford,Stein/ Honkala,60
Bedford,All Others,18
Belchertown,Obama/ Biden,4600
Belchertown,Romney/ Ryan,2914
Belchertown,Johnson/ Gray,73
Belchertown,Stein/ Honkala,81
Belchertown,All Others,15
Bellingham,Obama/ Biden,4263
Bellingham,Romney/ Ryan,4133
Bellingham,Johnson/ Gray,110
Bellingham,Stein/ Honkala,30
Bellingham,All Others,24
Belmont,Obama/ Biden,9313
Belmont,Romney/ Ryan,4752
Belmont,Johnson/ Gray,111
Belmont,Stein/ Honkala,137
Belmont,All Others,28
Berkley,Obama/ Biden,1573
Berkley,Romney/ Ryan,1689
Berkley,Johnson/ Gray,32
Berkley,Stein/ Honkala,10
Berkley,All Others,16
Berlin,Obama/ Biden,921
Berlin,Romney/ Ryan,830
Berlin,Johnson/ Gray,35
Berlin,Stein/ Honkala,21
Berlin,All Others,0
Bernardston,Obama/ Biden,809
Bernardston,Romney/ Ryan,329
Bernardston,Johnson/ Gray,19
Bernardston,Stein/ Honkala,9
Bernardston,All Others,8
Beverly,Obama/ Biden,12158
Beverly,Romney/ Ryan,8328
Beverly,Johnson/ Gray,263
Beverly,Stein/ Honkala,114
Beverly,All Others,53
Billerica,Obama/ Biden,9839
Billerica,Romney/ Ryan,9959
Billerica,Johnson/ Gray,210
Billerica,Stein/ Honkala,92
Billerica,All Others,64
Blackstone,Obama/ Biden,2222
Blackstone,Romney/ Ryan,2028
Blackstone,Johnson/ Gray,50
Blackstone,Stein/ Honkala,17
Blackstone,All Others,8
Blandford,Obama/ Biden,300
Blandford,Romney/ Ryan,348
Blandford,Johnson/ Gray,7
Blandford,Stein/ Honkala,5
Blandford,All Others,1
Bolton,Obama/ Biden,1554
Bolton,Romney/ Ryan,1463
Bolton,Johnson/ Gray,37
Bolton,Stein/ Honkala,15
Bolton,All Others,7
Boston,Obama/ Biden,200190
Boston,Romney/ Ryan,48985
Boston,Johnson/ Gray,2119
Boston,Stein/ Honkala,2112
Boston,All Others,483
Bourne,Obama/ Biden,4812
Bourne,Romney/ Ryan,5296
Bourne,Johnson/ Gray,68
Bourne,Stein/ Honkala,40
Bourne,All Others,28
Boxborough,Obama/ Biden,1753
Boxborough,Romney/ Ryan,1140
Boxborough,Johnson/ Gray,33
Boxborough,Stein/ Honkala,25
Boxborough,All Others,0
Boxford,Obama/ Biden,2066
Boxford,Romney/ Ryan,3034
Boxford,Johnson/ Gray,48
Boxford,Stein/ Honkala,14
Boxford,All Others,13
Boylston,Obama/ Biden,1283
Boylston,Romney/ Ryan,1343
Boylston,Johnson/ Gray,36
Boylston,Stein/ Honkala,17
Boylston,All Others,8
Braintree,Obama/ Biden,10059
Braintree,Romney/ Ryan,9232
Braintree,Johnson/ Gray,157
Braintree,Stein/ Honkala,75
Braintree,All Others,51
Brewster,Obama/ Biden,3678
Brewster,Romney/ Ryan,2752
Brewster,Johnson/ Gray,60
Brewster,Stein/ Honkala,40
Brewster,All Others,13
Bridgewater,Obama/ Biden,5777
Bridgewater,Romney/ Ryan,6098
Bridgewater,Johnson/ Gray,110
Bridgewater,Stein/ Honkala,47
Bridgewater,All Others,28
Brimfield,Obama/ Biden,897
Brimfield,Romney/ Ryan,1095
Brimfield,Johnson/ Gray,31
Brimfield,Stein/ Honkala,20
Brimfield,All Others,3
Brockton,Obama/ Biden,25262
Brockton,Romney/ Ryan,8710
Brockton,Johnson/ Gray,227
Brockton,Stein/ Honkala,85
Brockton,All Others,50
Brookfield,Obama/ Biden,830
Brookfield,Romney/ Ryan,858
Brookfield,Johnson/ Gray,26
Brookfield,Stein/ Honkala,19
Brookfield,All Others,5
Brookline,Obama/ Biden,22277
Brookline,Romney/ Ryan,5880
Brookline,Johnson/ Gray,208
Brookline,Stein/ Honkala,255
Brookline,All Others,33
Buckland,Obama/ Biden,750
Buckland,Romney/ Ryan,252
Buckland,Johnson/ Gray,11
Buckland,Stein/ Honkala,21
Buckland,All Others,0
Burlington,Obama/ Biden,6983
Burlington,Romney/ Ryan,6191
Burlington,Johnson/ Gray,115
Burlington,Stein/ Honkala,46
Burlington,All Others,25
Cambridge,Obama/ Biden,43515
Cambridge,Romney/ Ryan,5476
Cambridge,Johnson/ Gray,568
Cambridge,Stein/ Honkala,938
Cambridge,All Others,122
Canton,Obama/ Biden,6488
Canton,Romney/ Ryan,5779
Canton,Johnson/ Gray,102
Canton,Stein/ Honkala,37
Canton,All Others,13
Carlisle,Obama/ Biden,1972
Carlisle,Romney/ Ryan,1318
Carlisle,Johnson/ Gray,32
Carlisle,Stein/ Honkala,39
Carlisle,All Others,3
Carver,Obama/ Biden,2872
Carver,Romney/ Ryan,3111
Carver,Johnson/ Gray,49
Carver,Stein/ Honkala,20
Carver,All Others,13
Charlemont,Obama/ Biden,456
Charlemont,Romney/ Ryan,166
Charlemont,Johnson/ Gray,6
Charlemont,Stein/ Honkala,11
Charlemont,All Others,0
Charlton,Obama/ Biden,2914
Charlton,Romney/ Ryan,3662
Charlton,Johnson/ Gray,95
Charlton,Stein/ Honkala,41
Charlton,All Others,12
Chatham,Obama/ Biden,2293
Chatham,Romney/ Ryan,2280
Chatham,Johnson/ Gray,26
Chatham,Stein/ Honkala,23
Chatham,All Others,16
Chelmsford,Obama/ Biden,9651
Chelmsford,Romney/ Ryan,9573
Chelmsford,Johnson/ Gray,224
Chelmsford,Stein/ Honkala,99
Chelmsford,All Others,33
Chelsea,Obama/ Biden,6802
Chelsea,Romney/ Ryan,1515
Chelsea,Johnson/ Gray,70
Chelsea,Stein/ Honkala,36
Chelsea,All Others,0
Cheshire,Obama/ Biden,1219
Cheshire,Romney/ Ryan,493
Cheshire,Johnson/ Gray,23
Cheshire,Stein/ Honkala,10
Cheshire,All Others,2
Chester,Obama/ Biden,331
Chester,Romney/ Ryan,305
Chester,Johnson/ Gray,18
Chester,Stein/ Honkala,7
Chester,All Others,3
Chesterfield,Obama/ Biden,455
Chesterfield,Romney/ Ryan,228
Chesterfield,Johnson/ Gray,17
Chesterfield,Stein/ Honkala,16
Chesterfield,All Others,0
Chicopee,Obama/ Biden,14302
Chicopee,Romney/ Ryan,8241
Chicopee,Johnson/ Gray,263
Chicopee,Stein/ Honkala,133
Chicopee,All Others,97
Chilmark,Obama/ Biden,589
Chilmark,Romney/ Ryan,127
Chilmark,Johnson/ Gray,7
Chilmark,Stein/ Honkala,8
Chilmark,All Others,3
Clarksburg,Obama/ Biden,616
Clarksburg,Romney/ Ryan,232
Clarksburg,Johnson/ Gray,5
Clarksburg,Stein/ Honkala,7
Clarksburg,All Others,0
Clinton,Obama/ Biden,3768
Clinton,Romney/ Ryan,2621
Clinton,Johnson/ Gray,90
Clinton,Stein/ Honkala,36
Clinton,All Others,19
Cohasset,Obama/ Biden,2250
Cohasset,Romney/ Ryan,2601
Cohasset,Johnson/ Gray,35
Cohasset,Stein/ Honkala,9
Cohasset,All Others,10
Colrain,Obama/ Biden,618
Colrain,Romney/ Ryan,232
Colrain,Johnson/ Gray,19
Colrain,Stein/ Honkala,12
Colrain,All Others,5
Concord,Obama/ Biden,7316
Concord,Romney/ Ryan,3527
Concord,Johnson/ Gray,95
Concord,Stein/ Honkala,76
Concord,All Others,12
Conway,Obama/ Biden,926
Conway,Romney/ Ryan,288
Conway,Johnson/ Gray,6
Conway,Stein/ Honkala,30
Conway,All Others,6
Cummington,Obama/ Biden,368
Cummington,Romney/ Ryan,139
Cummington,Johnson/ Gray,10
Cummington,Stein/ Honkala,11
Cummington,All Others,2
Dalton,Obama/ Biden,2444
Dalton,Romney/ Ryan,891
Dalton,Johnson/ Gray,38
Dalton,Stein/ Honkala,29
Dalton,All Others,9
Danvers,Obama/ Biden,7367
Danvers,Romney/ Ryan,6997
Danvers,Johnson/ Gray,122
Danvers,Stein/ Honkala,57
Danvers,All Others,38
Dartmouth,Obama/ Biden,9880
Dartmouth,Romney/ Ryan,5985
Dartmouth,Johnson/ Gray,175
Dartmouth,Stein/ Honkala,69
Dartmouth,All Others,33
Dedham,Obama/ Biden,7757
Dedham,Romney/ Ryan,5734
Dedham,Johnson/ Gray,122
Dedham,Stein/ Honkala,54
Dedham,All Others,42
Deerfield,Obama/ Biden,2104
Deerfield,Romney/ Ryan,839
Deerfield,Johnson/ Gray,23
Deerfield,Stein/ Honkala,53
Deerfield,All Others,8
Dennis,Obama/ Biden,4921
Dennis,Romney/ Ryan,4247
Dennis,Johnson/ Gray,72
Dennis,Stein/ Honkala,38
Dennis,All Others,0
Dighton,Obama/ Biden,1743
Dighton,Romney/ Ryan,1843
Dighton,Johnson/ Gray,43
Dighton,Stein/ Honkala,18
Dighton,All Others,16
Douglas,Obama/ Biden,1897
Douglas,Romney/ Ryan,2542
Douglas,Johnson/ Gray,51
Douglas,Stein/ Honkala,22
Douglas,All Others,0
Dover,Obama/ Biden,1534
Dover,Romney/ Ryan,2004
Dover,Johnson/ Gray,27
Dover,Stein/ Honkala,12
Dover,All Others,7
Dracut,Obama/ Biden,6941
Dracut,Romney/ Ryan,8042
Dracut,Johnson/ Gray,173
Dracut,Stein/ Honkala,51
Dracut,All Others,0
Dudley,Obama/ Biden,2471
Dudley,Romney/ Ryan,2549
Dudley,Johnson/ Gray,57
Dudley,Stein/ Honkala,18
Dudley,All Others,8
Dunstable,Obama/ Biden,821
Dunstable,Romney/ Ryan,1036
Dunstable,Johnson/ Gray,25
Dunstable,Stein/ Honkala,11
Dunstable,All Others,2
Duxbury,Obama/ Biden,4247
Duxbury,Romney/ Ryan,5325
Duxbury,Johnson/ Gray,56
Duxbury,Stein/ Honkala,37
Duxbury,All Others,15
E. Bridgewater,Obama/ Biden,3349
E. Bridgewater,Romney/ Ryan,3878
E. Bridgewater,Johnson/ Gray,66
E. Bridgewater,Stein/ Honkala,25
E. Bridgewater,All Others,22
E. Brookfield,Obama/ Biden,470
E. Brookfield,Romney/ Ryan,663
E. Brookfield,Johnson/ Gray,11
E. Brookfield,Stein/ Honkala,4
E. Brookfield,All Others,4
E. Longmeadow,Obama/ Biden,4092
E. Longmeadow,Romney/ Ryan,4528
E. Longmeadow,Johnson/ Gray,69
E. Longmeadow,Stein/ Honkala,27
E. Longmeadow,All Others,19
Eastham,Obama/ Biden,2188
Eastham,Romney/ Ryan,1446
Eastham,Johnson/ Gray,24
Eastham,Stein/ Honkala,21
Eastham,All Others,11
Easthampton,Obama/ Biden,6283
Easthampton,Romney/ Ryan,2463
Easthampton,Johnson/ Gray,103
Easthampton,Stein/ Honkala,157
Easthampton,All Others,29
Easton,Obama/ Biden,5262
Easton,Romney/ Ryan,6060
Easton,Johnson/ Gray,84
Easton,Stein/ Honkala,670
Easton,All Others,31
Edgartown,Obama/ Biden,1701
Edgartown,Romney/ Ryan,827
Edgartown,Johnson/ Gray,22
Edgartown,Stein/ Honkala,14
Edgartown,All Others,6
Egremont,Obama/ Biden,677
Egremont,Romney/ Ryan,152
Egremont,Johnson/ Gray,4
Egremont,Stein/ Honkala,9
Egremont,All Others,0
Erving,Obama/ Biden,557
Erving,Romney/ Ryan,200
Erving,Johnson/ Gray,8
Erving,Stein/ Honkala,5
Erving,All Others,3
Essex,Obama/ Biden,1163
Essex,Romney/ Ryan,966
Essex,Johnson/ Gray,29
Essex,Stein/ Honkala,14
Essex,All Others,1
Everett,Obama/ Biden,9409
Everett,Romney/ Ryan,3589
Everett,Johnson/ Gray,93
Everett,Stein/ Honkala,45
Everett,All Others,39
Fairhaven,Obama/ Biden,5011
Fairhaven,Romney/ Ryan,3056
Fairhaven,Johnson/ Gray,107
Fairhaven,Stein/ Honkala,46
Fairhaven,All Others,27
Fall River,Obama/ Biden,21878
Fall River,Romney/ Ryan,7390
Fall River,Johnson/ Gray,299
Fall River,Stein/ Honkala,128
Fall River,All Others,51
Falmouth,Obama/ Biden,11127
Falmouth,Romney/ Ryan,8163
Falmouth,Johnson/ Gray,153
Falmouth,Stein/ Honkala,112
Falmouth,All Others,34
Fitchburg,Obama/ Biden,8547
Fitchburg,Romney/ Ryan,5602
Fitchburg,Johnson/ Gray,216
Fitchburg,Stein/ Honkala,71
Fitchburg,All Others,17
Florida,Obama/ Biden,255
Florida,Romney/ Ryan,127
Florida,Johnson/ Gray,7
Florida,Stein/ Honkala,1
Florida,All Others,3
Foxborough,Obama/ Biden,4787
Foxborough,Romney/ Ryan,4817
Foxborough,Johnson/ Gray,99
Foxborough,Stein/ Honkala,22
Foxborough,All Others,21
Framingham,Obama/ Biden,18499
Framingham,Romney/ Ryan,8978
Framingham,Johnson/ Gray,265
Framingham,Stein/ Honkala,164
Framingham,All Others,65
Franklin,Obama/ Biden,8616
Franklin,Romney/ Ryan,8566
Franklin,Johnson/ Gray,176
Franklin,Stein/ Honkala,87
Franklin,All Others,44
Freetown,Obama/ Biden,2318
Freetown,Romney/ Ryan,2247
Freetown,Johnson/ Gray,66
Freetown,Stein/ Honkala,25
Freetown,All Others,17
Gardner,Obama/ Biden,4699
Gardner,Romney/ Ryan,3331
Gardner,Johnson/ Gray,117
Gardner,Stein/ Honkala,65
Gardner,All Others,25
Georgetown,Obama/ Biden,2273
Georgetown,Romney/ Ryan,2579
Georgetown,Johnson/ Gray,49
Georgetown,Stein/ Honkala,17
Georgetown,All Others,12
Gill,Obama/ Biden,653
Gill,Romney/ Ryan,213
Gill,Johnson/ Gray,12
Gill,Stein/ Honkala,18
Gill,All Others,3
Gloucester,Obama/ Biden,9780
Gloucester,Romney/ Ryan,5535
Gloucester,Johnson/ Gray,161
Gloucester,Stein/ Honkala,79
Gloucester,All Others,61
Goshen,Obama/ Biden,395
Goshen,Romney/ Ryan,198
Goshen,Johnson/ Gray,10
Goshen,Stein/ Honkala,11
Goshen,All Others,0
Gosnold,Obama/ Biden,49
Gosnold,Romney/ Ryan,36
Gosnold,Johnson/ Gray,1
Gosnold,Stein/ Honkala,1
Gosnold,All Others,0
Grafton,Obama/ Biden,4877
Grafton,Romney/ Ryan,4438
Grafton,Johnson/ Gray,122
Grafton,Stein/ Honkala,49
Grafton,All Others,18
Granby,Obama/ Biden,1870
Granby,Romney/ Ryan,1575
Granby,Johnson/ Gray,28
Granby,Stein/ Honkala,28
Granby,All Others,5
Granville,Obama/ Biden,377
Granville,Romney/ Ryan,502
Granville,Johnson/ Gray,11
Granville,Stein/ Honkala,4
Granville,All Others,0
Great Barrington,Obama/ Biden,2928
Great Barrington,Romney/ Ryan,597
Great Barrington,Johnson/ Gray,33
Great Barrington,Stein/ Honkala,43
Great Barrington,All Others,8
Greenfield,Obama/ Biden,6187
Greenfield,Romney/ Ryan,1895
Greenfield,Johnson/ Gray,89
Greenfield,Stein/ Honkala,185
Greenfield,All Others,31
Groton,Obama/ Biden,3229
Groton,Romney/ Ryan,2814
Groton,Johnson/ Gray,58
Groton,Stein/ Honkala,49
Groton,All Others,11
Groveland,Obama/ Biden,1832
Groveland,Romney/ Ryan,2084
Groveland,Johnson/ Gray,50
Groveland,Stein/ Honkala,17
Groveland,All Others,10
Hadley,Obama/ Biden,2142
Hadley,Romney/ Ryan,891
Hadley,Johnson/ Gray,26
Hadley,Stein/ Honkala,43
Hadley,All Others,10
Halifax,Obama/ Biden,1938
Halifax,Romney/ Ryan,2071
Halifax,Johnson/ Gray,48
Halifax,Stein/ Honkala,16
Halifax,All Others,21
